Task_Type,Question,Essay,Examiner_Commen,Task_Response,Coherence_Cohesion,Lexical_Resource,Range_Accuracy,Overall
1,"The graph below shows the number of overseas visitors to three different areas in a European country between 1987 and 2007Summarise the information by selecting and reporting the main features, and make comparisons where relevant.","The graph provides information about the number of overseas visitors to three areas in a European country namely; the coast, the mountains and the lakes. The data compare figures recorded in 1987 until 2007.
Overall, the coast had the greatest number of visitors in the first year and will continue until the end of the study. Meanwhile, among the three locations, mountains were noted to be the least among the categories.
In detail, at the start of the year, the coast was noted to be the highest with 40 thousand visitors in 1987. In the succeeding year, it had slightly decreased to 35 thousand. However, it had a sharp increased in number in follwing years and reached almost 80 thousand visitors at 2007
The lakes were observed to be in lowest number of tourists who visited the location, at a number of 10 thousand in 1987, and this was followed by people who went to the mountains with 20 thousand visitors on the same year. However, in 1992 the two locations had identical pattern which rose up to over 20 thousand visitors respectively. The mountains had a slightly contuinuous increasing pattern throughout the remaining years ending with 35 thousand visitors. Meanwhile, the lakes continuous increased its number until 2002 with over 70 thousand visitors This figures, however, showed a drastically decreasing pattern with 50 thousand visitors at the end of 2007.",,,,,,5.5
2,"Some countries achieve international sports by building specialised facilities to train top athletes, instead of providing sports facilities that everyone can use. Do you think this is positive or negative development?Discuss both views and give your opinion.","Athletes to be on the top need to have high-end facilities that a country can provide for them to be able to improve their strengths and skills. Some government opted to build facilities exclusively for training athletes for international sports goals, instead of building establishments for everyone to have the liberty of using the sports facilities. From my perspective, this phenomena is a negative development.
Being able to discover an individual's potential, they need to have a support from any form of sources. Establishing sports facilities can help people to discover their own interests, talents and even skills in learning new things. Centers which offer utilities, equipments and state-of-the-art tools that provide learning sports can be a great advantage to people who want to train themselves on the things that can awaken their interests when it comes to sports.
In addition, building these kind of establishments, not only for the purpose to train top athletes, but also for people to immerse themselves to different variaties of activities can help them socialize more with their peers. This is extremely beneficial that aside from doing sports that they are into, they get to play along with peers, discover one's potential and also learning from one another. Furthermore, these individuals can also have the future to be one of top athletes that a country can have.
In conclusion, although there are countries that chose to have their sports establishments exclusively for training top athletes, I assert that these that actions can be lead to negative feedbacks. Government should allow everyone the privilege to use and avail facilities that can hone an individual's talents, skills and dexterity when it comes to sports and this can also be immensely benefical for both country and citizen alike.",,,,,,5.5
1,"The graph below shows the number of overseas visitors to three different areas in a European country between 1987 and 2007Summarise the information by selecting and reporting the main features, and make comparisons where relevant.","The graph bellow illustrates the amount of travellers who travelled between 1987 to 2007 to three different locations (the coast, the mountains, the lakes) in a particular European country, we can see that over all the coast and the lakes had more visitors than the mountains.
The number of the coast visitors reached 40 thousands in 1987 then it declined to its lowest in 1992 by almost 35 thousand visitors and then it went up gradually to 75 thousand travelers in 2007.
While the lake visitors started from 10 thousand in 1987 and continued rising until it reached its peak in 2002 by over 70 thousand travelers, then it witnessed a severe fall and went down to 50 thousand visitors by the year 2007.
unlike the lake and the coast which had their ups and downs the mountain areas had a slowly steady raise of number of visitors which started by 20 thousand visitor in 1987 and reached to almost 35 thousand visitors in 2007.",,,,,,6.5
2,"Some countries achieve international sports by building specialised facilities to train top athletes, instead of providing sports facilities that everyone can use. Do you think this is positive or negative development?Discuss both views and give your opinion.","It is often argued that some countries invist in devolping highly specialised training centers to train its top athletes to achieve international sports, instead of facilitate and provide public training centers for everyone to use and to practice. In my opinion i think both ideas together can contribue a very successful achievement in international sports for the country.
Building highly specialised facilities by the country to train its top athletes can help the athletes to get an apropriate training, give them the chance to progress faster and to be qualified to win or host international compititions like olympics, for example if the country invists and build a large swimming center to train professional swimmers, it is highly likely for them to win and get medals in international compititions.
On the other side providing various sport centers for the public use will encourage people to train and practice all kinds of sports more which leads to gaining more athletes to represent the country, for example allowing and giving access to a young talented girls to practice their favorite sport like football, ice skating, bascketball and more will give them the apportinety to become a professional athletes who would benifit and represent the country.
In conclusion, i think both invisting in building specialised facilities to train the top athletes to win and host an international compititions, and invisting in providing sport centers for everyone to use to encourage and build more athletes could be benificial and counribue a highly international achievement in sports for the country it self.",,,,,,6
1,"The graph below shows the number of overseas visitors to three different areas in a European country between 1987 and 2007Summarise the information by selecting and reporting the main features, and make comparisons where relevant.","The graph below illustrates the amount of overseas visitors to three different places ( the coast, the mountains, the lakes ) in a European country between the period 1987 to 2007. The unit used in the graph is thousands
Overall, the lakes had the lowest amount of visitors in the graph in 1987 by 10 thousand visitors in oppose the coast had the most number of visitors in the graph in 2007 by slightly over 70 thousand visitors. The mountains had the lowest amount of visitors in all the times visitors combined while the coast and the lakes were really close to each other in the overall amount of vistors nearly the same amount of visitors.
In the period from 1987 to 1992 The coast had the highest number of visitors by approximately 40 thousand visitors while the lakes had the lowest number of visitors by nearly 10 thousand visitors and the mountains were the middle between them by slightly over 20 thousand visitors.
In the period from 1992 to 1997 the coast also was the highest number of visitors by around 40 thousand visitors in meantime the lakes was lower than the mountains it was above 15 by littile and the mountains were above 25 but the lakes suprisingly rocketed and achived the mountains even went more by 30 thousand approximately.",,,,,,6.5
2,"Some countries achieve international sports by building specialised facilities to train top athletes, instead of providing sports facilities that everyone can use. Do you think this is positive or negative development?Discuss both views and give your opinion.","There is some countries attain international sports by making and buliding unique specialised facilities to develop and improve top athletes, rather than providing sports facilities that anyone else can use.
In my opinion, i think that building specialised facilities to encahnce top athletes potential is essential and its such a positive development, i also think that any sports player must have a good body and eat healthy food, because a good physique can improve movement,stamina and strength etc specially in the sports that depend alot on the body as an exmaple football, basketball, table tennis, swimming etc, and healthy food helps the athlete to achieve the physique that he wants and give him even more power and activity.
builiding specialised facilities is important because they will train them specificly on certain things in order to make them the best, also they can focus on the athletes alone they are not going to be disturbed by people, every athlete with his coach, and that place only will be for the proffessnial athletes, as an example in table tennis professional players play in their clubs because they have the best enviroment to be better, they have amazing equipment such as the table the racket etc, and they have the coaches all over the place, and they can play with the players because they are all professional athletes.
additionally those player have to be very fit, all of the top players are in extremely good shape their legs are built of metal in order to help them move quick in the table and the muscules helps with stamina if they are strong they can play more without getting tired.
So yes the facilities are very helpful and crucial to reach the top and they have to follow a specific diet from the professional coaches.",,,,,,6.5
1,The pie charts below show the percentage of time working adults spent on different activities in a particular country in 1958 and 2008. Summarise the information by selecting and reporting the main features and make comparisons where relevantYou should write at least 150 words.,"Information is presented in two pie charts which compare the amount of time, in percentage, that employees spent on six different activities in a country between 1958 and 2008.
Overall, it can be clearly seen that while each activity that working adults did experienced a wide variety of changes, working and sleeping were the most and the second most popular categories in both years respectively. In addition, the most significant change in employees°Ø behavior was travelling to work.
Turning to first main feature, working ranked first in activity that working adults spent their time on over the survey period, contributing to 33% in 1958 and 42% in 2008. Next, sleeping ranked second in the activity that employees did. In 1958 the amount of time that employees slept was an exact 32%, before decreasing slightly to a precise 25% in 2008.
Turning to another main feature, with respect to going out, the popularity of this activity decreased noticeably from a modest 19% in 1958 to only 6% in 2008. Nevertheless, there was also an increase of 5% in relaxing at home. In 1958 only 8% of working adults spent their time on this activity. After that the popularity of this activity rose to a modest 13% in 2008. The last key point to note is travelling to work which rose fourfold from a precise 2% in 1958 to an exact 8% in 2008.",,,,,,8.5
2,"Nowadays, not enough students choose science subjects in university in many countries. What are the reasons for this problem? What are the effects on society?","There is currently a material issue that while the majority of students are eager to learn business or art in university, there are only a few students who want to study science, leading to numerous negative effects on community. With respect to this matter, there are also a wide variety of factors that influence the decision of students to not study science subjects.
It is undeniable that there are many reasons why undergraduates avoid studying science. A classic example of this is that science is extremely difficult to understand. In order to fully comprehend a particular scientific phenomenon, students have to learn complex theories that cause the phenomena. Therefore, they tend to choose other subjects that are easier to understand. Another common reason is a small amount of salary for working in scientific fields. When student choose subjects to study at university, they tend to enroll in an area that they could make a lot of money from having that knowledge. Since science career does not offer high remuneration, student possibly prefer to study other subjects such as business which offers higher salary instead.
It is true that there are many negative consequences on society of having less undergraduates studying science. One clear impact of this is the decreasing in innovation. This is because scientific comprehension is a mandatory requirement for creating an innovation. Hence, having only a few people who understand science will inevitably hold the creation of modern innovation. Furthermore, the current environmental crisis, such as an increase in global temperature, would perhaps reach a point of no return. Since the crisis relates to environment which is one of scientific aspects, having a small number of attention from students would lead to less social pressure to address this crisis properly.
In conclusion, it is the fact that science is complicated and people who have scientific knowledge can make less money than those who are expertise in other areas, resulting in less popularity in learning about science for university students. Moreover, with the rise in this problem, this trend possibly suspends the creation of new innovation and deteriorate the current environmental issues, which are two most crucial matters for society.",,,,,,8.5
1,The pie charts below show the percentage of time working adults spent on different activities in a particular country in 1958 and 2008. Summarise the information by selecting and reporting the main features and make comparisons where relevantYou should write at least 150 words.,"The two diagrams compare the proportion of time spent by adult workers in a specific country on different activities over a 50-year period, from 1958 to 2008.
Overall, it can clearly be seen that in 1958, adult workers divided their time roughly equally between work, sleep, and other activities. However, over the next five decades, there was a remarkable increase in working hours, a significant decrease in sleep time, and the total time allocated to other activities remained nearly unchanged.
It is surprising that adult workers spent almost the same amount of time sleeping (32%) as they did working (33%) in 1958. However, by 2008, they slept 7% less (25%) and worked 9% more (42%), which represents a remarkable increase in working hours. As a result, the time they spent at home for relaxation increased from 8% to 13%. In contrast, the time spent going out with friends and family declined dramatically by one-third, from 19% to 6%. The most striking change, however, was the significant increase in time spent traveling to work, which quadrupled from 2% to 8% over the 50 years.",,,,,,8
2,"Nowadays, not enough students choose science subjects in university in many countries. What are the reasons for this problem? What are the effects on society?","In recent years, many countries have reported a decrease in the number of students choosing science subjects in universities. This is a concerning trend that can have a profound impact on society. In this essay, I will discuss the reasons behind this problem and its implications.
The first reason for fewer students selecting science subjects is likely that these courses are difficult to comprehend. In general, science courses such as mathematics and physics involve complex theories, formulas, and concepts that require a great deal of hard work to understand. Furthermore, they are often taught in a theoretical manner and fail to show students how this knowledge can be used in real life. In other words, it may seem impractical for them to learn science courses. Lastly, it may be hard to acquire a practical job through these theoretical subjects in the future. As a result, students may give up studying science because they find scientific studies unappealing, impractical, and not promising for their future careers.
Consequently, the lack of students studying science subjects can have a significant impact on society. First and foremost, there may not be enough qualified scientists and teachers to teach the theoretical foundation of technology, medicine, and engineering. This could lead to slow progress in these areas, and society may suffer as a result. Moreover, the decline in the number of science students could lead to a shortage of scientists for research and development in industry, which would have a negative impact on the nation's economy.
To sum up, the decreasing number of students selecting science courses in universities is a worrying phenomenon. The main reasons for this are the difficulty of science courses and the lack of job opportunities in science after studies. This could have a negative impact on society, as there may not be enough qualified scientists to pursue research, and this could impede progress in fields such as technology and medicine.",,,,,,8.5
1,The pie charts below show the percentage of time working adults spent on different activities in a particular country in 1958 and 2008. Summarise the information by selecting and reporting the main features and make comparisons where relevantYou should write at least 150 words.,"The pie graphs illustrate the amount of time spent by a working class on six different activities (working, relaxing at home, sleeping, travel to work, going out, and others interests) in a country in the year 1958 and 2008.
Overall, the percentage of time spent on all activities had increased in 50 years but going out with friends and sleeping shows a decrease in 2008 as compare to 1958.
In 1958, people spent one-third of the time working, which increased in 2008 by 9% and it remained the top priority among working adults. However, people spent the least time on travelling to work in 1958, which was 2% though by 2008 people started spending 8% of their time commuting to work.
It is evident from both the graphs that people spent almost one-fifth of the time with their family and friends in 1958 which was the third most time-consuming activity. On the contrary, in 2008, this activity became the least preferred activity with only 6% of the time. People also deprived of their sleep in 2008 as it decreased from 32% to 25%.",,,,,,6
2,"Nowadays, not enough students choose science subjects in university in many countries. What are the reasons for this problem? What are the effects on society?","In this essay we will talk about why in so many countries students do not prefer to choose science as a subject in the universities. There are plenty of reasons for this problem and what effect does this have on society? This essay will suggest many reasons for this problem.
The main reason of this problem is lack of trained Math and Science teachers. If students do not get proper foundation and motivation in their school life to persue science, They will develop Science and Math phobia. Due to which they will prefer to choose any other stream than science to pursue their higher education.
Eventually, this will effect society in many ways. If students stopped taking science as their majors, their will be shortage of doctors. Because of that, people will suffer from many health problems. Secondly, if students do not take science as their major there will be no placement of science teachers for the future generation. According to me, Government should take firm steps to stop this from happening. There must be some training or some programs to keep teachers up to date to enhance their teaching.This will enable teachers to make science subjects enjoyable for students, for instance, teachers may incorporate technology in the learning process.
To conclude, I belive that government and teachers should take the responsibility to create the environment to learn these subjects in a fun way. This will, eventually, increase the number of students enrolling for Science Subjects in coming future. Otherwise, it may have negative impact on society which will not be a good sign for any country.",,,,,,6.5
1,The pie charts below show the percentage of time working adults spent on different activities in a particular country in 1958 and 2008. Summarise the information by selecting and reporting the main features and make comparisons where relevantYou should write at least 150 words.,"The pie charts illustrate the proporation of time cost by different activities for the working adults in a certain nation in 1958 and 2008.
Looking from an overall perspective, the percentage of time spent on working, relaxing at home and other interests or playing sports were increased in the given years. However, the time of other three activities consumed were decreased at the same time.
In terms of the events which experienced an increasement of time, the percentage of time of working rised 9 percent, up to 42 percentage in 2008 and become the most time-consuming activity. The activities of relaxing at home and other interests or playing sports were seperately increased 5 percentage and 2 percentage in terms of time consuming.
As regards to going out, travel to work and sleeping activities, they were all decreased in different percentage of time. The most noticiable one was going out with friends or family, which dramatically droped from 19 percentage to 6 percentage, approximately one third of the former proporation in 1958. As for the percentage of sleeping and travel to work, they were both declined over the given fifty years.",,,,,,5.5
2,"Nowadays, not enough students choose science subjects in university in many countries. What are the reasons for this problem? What are the effects on society?","Recently, more and more students choose to study finance, management or other subjects instead of science in university around the world. There are many reasons contribute to this phenomenon and this would definetely impose negative influences on our society.
In terms of the factors, the reason is mainly due to the job market. Firstly, we have to admit that the number of science job vacancies in the market is significantly lower than the other occupations, like the nurse, the accountant, the lawyer and so on. Besides this, the science is comparatively difficult than the other subjects. If you want to be a qualified scientist, you are more likely to spend more time on learning and researching, maybe three years more than the other subjects. So, very naturally, few people would like to take the risk of learning science.
However, science does play an extremely important role in our society. If not enough people study science, it may impede the development of the country. Science represents the future of our nation because it could help to improve the development of technology and then make new technologies into pratical products. A good example can be seen in the United States, which has experienced a huge development in science during the past decades and has created a lot of advanced products, such as the Microsoft and Artificial intelligence, which has bring great benefits to this country in return and make it become the most powerful nation in the world. In contrast, if very few people learning science, the nation may remain at a standstill and lose its competitiveness.
In conclusion, although few people want to study science, the government should take efficient measures to encourage the public to study this subject to help our society improving continuously in the long future.",,,,,,5.5
1,The pie charts below show the percentage of time working adults spent on different activities in a particular country in 1958 and 2008. Summarise the information by selecting and reporting the main features and make comparisons where relevantYou should write at least 150 words.,"The pie charts indicate how the proportion of time changes in spending on different activities from working adults in a country in the years 1958 and 2008.
Overall, while it can be seen that working was the most important event occupied a majority of the percentage of time either 1958 or 2008, the amount of time on sleeping decreased obviously in 2008.
First, most of the researched events occupied more time than in the past. Working is one of the events presenting the most serious situation and it took 33% in 1958, increasing to 42% in 2008. Moreover, adult workers in this country were more likely to travel to work, presenting 8% in 2008 from only 2% in 1958. Besides working, citizens tended to relax at home spending 13% of the time on this event, and in which people take 8% of their time in 1958.
However, the harder working, the less time was spent in rest. Working adults spent 25% of sleep in 2008, while they spent 32% in 1958. Also, they reduce the time spending in going out with their friends or families, spending only 6% in 1958 from 19% in 1958.",,,,,,7
2,"Nowadays, not enough students choose science subjects in university in many countries. What are the reasons for this problem? What are the effects on society?","It is a serious problem that there is an inadequate number of students who tend to select science as their major subject in universities in many countries. In my view, students may think that studying science has not a good career path. Also, this issue may deeply affect the international state of a country.
The main reason why people do not think to study science is that they may see science as something unpractical, and potentially, they are hard to find a job when they graduate. Students are generally afraid that there is no employment opportunity after they graduate from university. Unlike engineering and business management, in which fields employers provide plenty of vocational positions for graduated students because there are lots of companies activating in these fields and universities may provide some practical training courses and internships. Students studying science have a relatively narrow way to walk, and may just be scientists. Moreover, although a successful scientist can get a massive bonus from some prizes, it is too hard to accomplish and is more likely to fail. Therefore, Students will avoid taking those risks and choose other subjects that are relatively stable and easy to find a job.
This trend will eventually decrease the state of a country. Developing science can provide a strong and firm foundation for a country to establish a healthy and prosperous community. If there are not enough scientists, the whole scientific ability will decrease. Not only will the government pay extra money to other foreign countries to buy the required technology such as military equipment, but the public needs to spend more time and pay more effort to maintain the international standard production rate of a country. It is extremely dangerous that a nation easily suffers from a financial crisis and, finally, it influences the living standard of its citizens and causes damage to its financial systems.
In summary, while science is regarded as a ""useless"" subject because of its narrow career path and low success rate, it is vital that the economic systems would be affected if a country develop without scientists.",,,,,,7
1,The pie charts below show the percentage of time working adults spent on different activities in a particular country in 1958 and 2008. Summarise the information by selecting and reporting the main features and make comparisons where relevantYou should write at least 150 words.,"The pie charts indicate how the proportion of time changes in spending on different activities from working adults in a country in the years 1958 and 2008.
Overall, while it can be seen that working was the most important event occupied a majority of the percentage of time either 1958 or 2008, the amount of time on sleeping decreased obviously in 2008.
First, most of the researched events occupied more time than in the past. Working is one of the events presenting the most serious situation and it took 33% in 1958, increasing to 42% in 2008. Moreover, adult workers in this country were more likely to travel to work, presenting 8% in 2008 from only 2% in 1958. Besides working, citizens tended to relax at home spending 13% of the time on this event, and in which people take 8% of their time in 1958.
However, the harder working, the less time was spent in rest. Working adults spent 25% of sleep in 2008, while they spent 32% in 1958. Also, they reduce the time spending in going out with their friends or families, spending only 6% in 1958 from 19% in 1958.",,,,,,7
